Word	Score
aglee	33887
retie	33886
stede	33881
oorie	33881
santo	33856
sayst	33850
poise	33847
solde	33844
abeer	33843
resam	33841
samek	33838
grese	33836
rosal	33833
rorie	33826
sensu	33824
serry	33815
sewen	33811
alata	33811
cause	33808
silen	33799
sabal	33796
skeet	33793
tiare	33787
savey	33787
scale	33783
sanga	33756
hiree	33752
aldea	33751
orate	33739
geste	33733
spane	33729
eagle	33729
asper	33727
salve	33720
alala	33714
seize	33693
realo	33690
sonde	33688
salon	33683
presa	33672
paire	33647
beisa	33638
maleo	33632
raita	33632
aleem	33630
sewar	33627
raper	33618
eever	33613
poset	33612
arter	33608
sider	33603
goose	33601
leone	33599
roleo	33592
sieve	33589
ariel	33588
poete	33585
seamy	33585
caret	33582
seepy	33579
sycee	33576
pesta	33569
paler	33566
verse	33566
slake	33559
false	33550
weise	33528
eensy	33528
terne	33526
paren	33526
hoser	33520
sware	33508
eathe	33507
terra	33505
risen	33502
jetee	33501
reave	33495
pewee	33490
taira	33489
sower	33480
racer	33469
sadhe	33467
tatie	33464
aecia	33463
aside	33462
meuse	33459
seven	33458
stead	33457
steme	33454
steek	33450
scene	33448
barre	33447
maire	33446
reeve	33446
roneo	33436
reran	33432
peepe	33427
gesso	33418
nosey	33417
todea	33416
cosie	33397
skeen	33387
parte	33384
aarti	33383
mesal	33375
fossa	33364
narra	33360
basal	33360
snead	33360
rente	33358
basta	33353
shoer	33344
gorse	33344
balsa	33335
reney	33331
kesar	33324
horse	33320
sitar	33304
skate	33294
fusee	33293
senex	33290
parle	33287
coate	33284
apnea	33277
peace	33276
potae	33275
weete	33266
bassi	33264
coset	33262
alcea	33262
pater	33255
waste	33243
mesem	33236
sweet	33230
peece	33227
stire	33219
cesta	33219
resto	33217
sepad	33215
saint	33214
peasy	33214
skear	33203
farer	33201
segue	33201
missa	33196
mensa	33194
rinse	33186
terai	33179
usnea	33172
socle	33167
tinea	33164
dater	33159
roake	33155
sapor	33147
garre	33144
tarsi	33137
basan	33137
toast	33126
anata	33123
hause	33117
stole	33116
reeze	33116
resol	33111
puree	33109
aurei	33108
sonce	33104
soyle	33100
arepa	33097
dreer	33093
marle	33086
dorsa	33084
lassu	33077
sorex	33075
obese	33075
beast	33075
speat	33072
poste	33064
amate	33063
caner	33060
reeaf	33056
mater	33054
talar	33050
merel	33050
rager	33047
sweel	33047
tasca	33046
besat	33045
sedge	33044
sonsy	33042
posey	33037
carte	33034
bosie	33033
hasta	33026
blase	33009
sopra	33009
laari	33003
tsade	33003
touse	32997
stage	32995
tenet	32986
parra	32980
looie	32979
renne	32975
stake	32968
pekea	32959
asker	32947
loast	32942
upsee	32941
massy	32941
carle	32937
tante	32936
ramie	32936
tawse	32932
sargo	32932
peage	32925
aspie	32913
cater	32905
peake	32898
areca	32897
oaker	32893
speal	32889
surra	32884
osone	32878
seton	32874
snake	32871
eosin	32868
moste	32863
skene	32862
sujee	32861
treen	32857
canoe	32856
lader	32854
baler	32852
hansa	32852
naira	32846
sceat	32840
saheb	32839
raker	32838
mosey	32836
tamer	32830
stone	32830
yeast	32828
citee	32817
louse	32813
hoise	32806
ramet	32801
sheal	32801
tasto	32795
perle	32789
reist	32784
marra	32779
soken	32775
suite	32774
socia	32766
satin	32762
peter	32757
aalii	32751
valse	32749
riata	32749
heast	32748
veale	32742
aller	32740
anana	32740
these	32740
tatar	32739
laten	32739
irate	32736
esker	32736
prose	32725
geest	32723
aleye	32721
beret	32720
coste	32714
miser	32713
spore	32712
lyase	32706
retia	32705
ferer	32703
taper	32698
meake	32697
porer	32697
musse	32693
cosey	32687
maria	32685
resit	32684
spean	32666
mesad	32665
meloe	32663
spier	32661
deter	32661
spade	32652
smore	32652
carne	32651
sauve	32648
lamer	32646
asura	32645
swear	32640
venae	32635
swale	32634
amene	32631
causa	32627
peyse	32625
shore	32624
sheep	32622
sauba	32620
palet	32617
aider	32614
woose	32613
omasa	32611
nisei	32606
tiara	32606
cooer	32604
scala	32602
latte	32597
merle	32588
zooea	32575
shier	32573
maile	32572
shade	32564
olate	32560
meter	32556
mosso	32548
leash	32547
issue	32538
earnt	32528
ratal	32527
faena	32525
haler	32525
seity	32524
aware	32519
seiza	32512
tutee	32506
perne	32503
haole	32503
steam	32489
acara	32487
siker	32483
stoai	32483
algae	32482
score	32480
epene	32480
artel	32476
breer	32475
acene	32459
stria	32458
reard	32455
pareu	32453
neafe	32452
messy	32443
liane	32443
tania	32438
three	32434
alone	32432
alter	32429
bassy	32428
starr	32424
yeeek	32419
radar	32419
hakea	32416
sloan	32407
mobee	32406
reerd	32406
aimer	32406
lorel	32404
eider	32403
senti	32403
resod	32401
agate	32396
abate	32395
ramen	32395
manie	32395
resaw	32395
lotsa	32393
heame	32392
leave	32391
raike	32391
daine	32391
hosel	32388
versa	32385
naeve	32381
araba	32375
drere	32373
aspen	32372
slash	32369
lacer	32365
etwee	32360
worse	32356
sneap	32352
corer	32347
etape	32346
stile	32345
stair	32330
bosey	32323
erode	32323
ratan	32304
abear	32304
emcee	32303
remet	32303
layer	32298
pilea	32297
surat	32297
nante	32293
lovee	32290
sieur	32287
sient	32282
panel	32278
resin	32278
sewan	32272
looey	32269
scena	32267
barra	32266
norie	32263
manet	32260
eeven	32258
aurar	32257
biose	32257
abele	32249
toner	32249
laide	32249
teaze	32245
early	32239
passu	32238
dosai	32238
gater	32238
solah	32232
sinsi	32231
neato	32224
torte	32223
stoat	32222
jasey	32222
salty	32221
scuse	32220
laksa	32217
hater	32214
slave	32213
ensue	32196
caeca	32194
rawer	32188
salop	32188
souce	32188
namer	32187
seric	32186
alien	32186
renal	32184
shape	32180
array	32171
crare	32168
hosen	32165
deair	32164
armer	32160
lisle	32159
warre	32156
perai	32156
cerne	32153
soman	32148
togae	32147
shame	32137
sorry	32129
uraei	32128
gassy	32125
sally	32124
rimae	32123
patel	32123
sural	32114
smeek	32112
feast	32109
alaap	32100
penie	32098
telia	32096
ousel	32096
urare	32096
toter	32094
neral	32092
ocrea	32084
sidey	32079
noeme	32078
taber	32071
luser	32069
space	32068
slart	32066
loner	32065
leaze	32061
baile	32059
reune	32059
aweel	32058
tenne	32055
ashet	32055
carat	32043
selva	32041
rodeo	32041
ceria	32038
petre	32037
scape	32036
anole	32030
palar	32027
lanai	32022
poena	32021
yarra	32019
terek	32018
leper	32016
targe	32012
leeze	32012
brose	32011
sidle	32009
maral	32009
squee	32007
coala	32006
birse	32000
hosey	31996
peine	31989
repel	31988
borer	31983
suona	31981
tossy	31981
kasme	31977
roral	31969
faire	31967
alapa	31967
agene	31964
paeon	31964
slope	31960
doest	31958
prise	31954
suave	31954
sofar	31953
relay	31948
lager	31943
soapy	31942
sowar	31941
spire	31941
tenia	31940
pilae	31939
samba	31933
steez	31931
saury	31926
zeera	31926
adeem	31919
taker	31918
steak	31911
sabir	31910
torso	31908
akara	31901
paten	31900
remen	31897
retem	31890
festa	31889
sowle	31886
adore	31881
tetra	31879
aiery	31878
douse	31878
dalle	31876
smote	31875
akene	31873
miraa	31872
moana	31869
roost	31869
jeera	31868
denet	31867
kerel	31867
peola	31865
terce	31865
stoep	31860
simar	31856
teary	31853
carta	31853
shire	31853
onset	31850
reely	31850
skean	31848
shote	31847
abcee	31846
rupee	31846
skier	31843
noire	31843
atone	31841
learn	31838
atter	31838
metre	31836
raver	31835
preen	31834
syren	31833
romeo	31833
elite	31833
escar	31828
large	31828
malar	31826
manoa	31824
nason	31823
sneak	31814
rance	31812
rayle	31808
rapso	31806
oread	31806
derat	31799
absey	31798
lossy	31797
arson	31796
etage	31795
renay	31792
resid	31791
pasag	31790
useta	31788
maran	31786
stash	31778
mouse	31773
gerle	31772
phase	31766
repen	31765
snoep	31763
patte	31758
brere	31755
coast	31753
ebene	31752
tapet	31749
raiah	31741
prate	31741
regie	31735
weest	31735
laker	31734
oiler	31733
cameo	31724
treat	31724
phese	31717
mante	31712
ackee	31711
scire	31709
creel	31707
scote	31703
yogee	31702
refer	31702
sweat	31691
spake	31690
sordo	31683
snash	31681
sield	31675
paper	31675
ronte	31672
leary	31669
amore	31663
aline	31661
aceta	31661
ashen	31649
osetr	31646
paska	31645
sault	31627
afear	31624
calle	31622
slyer	31622
stave	31622
leery	31620
sposo	31620
maray	31617
toile	31612
deash	31612
sooty	31609
allel	31608
farle	31607
crise	31604
strep	31603
shake	31602
sowne	31600
tacet	31600
reget	31600
serow	31599
pasha	31597
vasal	31593
minae	31582
smeke	31581
super	31579
sayon	31576
slide	31573
sabot	31571
slain	31566
romer	31566
eatin	31562
waler	31561
sarvo	31559
matte	31557
neper	31557
senza	31555
drear	31554
neeze	31553
belie	31540
oaken	31538
solve	31536
costa	31533
enter	31530
panne	31530
matey	31530
spiel	31529
pacer	31526
rayne	31522
ratoo	31518
sotto	31517
rotte	31517
saith	31516
aleak	31513
freer	31509
avise	31509
sweal	31508
diane	31508
peeve	31503
solon	31499
laden	31499
rearm	31487
gerne	31486
steno	31482
siver	31480
poesy	31479
comae	31477
start	31475
recte	31474
maerl	31470
salut	31469
atria	31469
redia	31465
shone	31464
poire	31463
sango	31461
range	31461
payer	31459
diene	31459
since	31457
deave	31456
noone	31454
nelia	31453
noter	31451
leger	31445
onsen	31444
shiel	31441
doseh	31435
sanko	31434
ranke	31434
roper	31434
laura	31432
arett	31430
pooey	31430
resty	31426
razer	31424
metel	31424
zorse	31420
piste	31417
chase	31416
lacet	31416
sotol	31411
nurse	31410
askar	31408
deeve	31407
peart	31405
amuse	31403
manso	31397
masha	31396
adret	31395
crate	31391
stray	31390
boast	31389
allen	31385
ayrie	31385
lapel	31382
poler	31382
tanna	31372
rione	31370
salic	31369
stope	31369
naiad	31366
kaama	31366
morel	31364
savor	31364
rebel	31361
rosha	31356
perst	31355
abeat	31355
adead	31348
sture	31346
blaer	31345
tapen	31343
saunt	31341
swore	31331
sweep	31329
macer	31325
caper	31325
mesca	31324
scone	31320
urate	31319
sabha	31319
dente	31319
trier	31313
afara	31311
rouet	31304
trade	31304
sahab	31300
epena	31299
peeoy	31297
padre	31295
lande	31292
ronne	31289
denar	31277
irade	31276
shero	31276
naker	31275
pesto	31274
karai	31270
tawer	31268
doole	31264
moire	31262
liana	31262
bouse	31260
patia	31260
ladle	31260
anile	31259
urdee	31259
sutra	31258
beira	31254
water	31250
benet	31249
canso	31248
yarta	31242
mason	31242
brise	31240
islet	31234
ousia	31233
rathe	31231
mooey	31229
veena	31226
srsly	31226
snoek	31225
merde	31225
deray	31224
greet	31223
peaze	31222
pearl	31222
swede	31222
neist	31221
petar	31218
alley	31216
mania	31214
poake	31212
satyr	31212
armet	31211
barde	31210
naice	31206
porte	31200
avale	31199
eskar	31197
close	31196
snarl	31195
carpe	31190
alder	31189
slipe	31189
nacre	31186
trest	31184
apeek	31183
verre	31182
moler	31181
genre	31175
eyrie	31174
porey	31173
nalla	31171
salmi	31170
ceder	31167
goier	31166
vaire	31166
spite	31164
oriel	31156
matra	31153
cosec	31152
steil	31149
slime	31146
lutea	31141
maist	31138
malai	31138
doner	31130
serif	31129
aural	31125
sepoy	31125
kerne	31119
sarky	31114
tenue	31111
desex	31110
singe	31106
volae	31105
pager	31104
smite	31104
ahead	31102
snail	31101
roist	31098
sawah	31095
madre	31094
vesta	31088
roary	31087
leant	31084
lawer	31084
noria	31082
genie	31081
cooey	31080
acoel	31079
apace	31079
slaid	31079
ramal	31079
